"대구","51.705","-","51.189","-1","50.981","-0.41","51.068","0.17","51.335","0.52","51.438","0.2","51.453","0.03","51.436","-0.03","51.472","0.07","51.406","-0.13","51.512","0.21","51.548","0.07","51.534","-0.03","51.452","-0.16","51.443","-0.02","51.669","0.44","51.98","0.6","52.563","1.12","53.278","1.36","53.846","1.07","54.353","0.94","54.92","1.04","55.412","0.9","55.751","0.61","56.046","0.53","56.398","0.63","56.807","0.73","57.068","0.46","57.346","0.49","57.547","0.35","57.781","0.41","57.717","-0.11","57.584","-0.23","57.458","-0.22","57.394","-0.11","57.36","-0.06","57.341","-0.03","57.345","0.01","57.318","-0.05","57.226","-0.16","57.087","-0.24","56.869","-0.38","56.678","-0.34","56.493","-0.33","56.282","-0.37","56.164","-0.21","56.069","-0.17","55.984","-0.15","55.858","-0.23","55.719","-0.25","55.585","-0.24","55.482","-0.18","55.412","-0.12","55.303","-0.2","55.203","-0.18","55.047","-0.28","55.001","-0.08","54.914","-0.16","54.784","-0.24","54.613","-0.31","54.355","-0.47","53.874","-0.88","53.271","-1.12","52.784","-0.91","52.502","-0.53","52.324","-0.34","52.346","0.04","52.293","-0.1","52.318","0.05","52.331","0.02","52.581","0.48","52.783","0.38","52.921","0.26","53.073","0.29","53.149","0.14","53.245","0.18","53.293","0.09","53.353","0.11","53.426","0.14","53.442","0.03","53.425","-0.03","53.454","0.05","53.555","0.19","53.713","0.3","53.988","0.51","54.215","0.42","54.468","0.47","55.122","1.2","55.892","1.4","56.882","1.77","57.149","0.47","57.709","0.98","58.273","0.98","58.971","1.2","59.753","1.33","60.348","1","61.27","1.53","61.644","0.61","63.01","2.22","63.34","0.52","63.757","0.66","64.113","0.56","64.313","0.31","64.379","0.1","64.462","0.13","64.645","0.28","64.79","0.22","64.952","0.25","65.149","0.3","65.619","0.72","66.083","0.71","66.247","0.25","66.418","0.26","67.161","1.12","67.848","1.02","68.617","1.13","69.68","1.55","70.245","0.81","70.681","0.62","71.348","0.94","72.164","1.14","73.206","1.44","74.311","1.51","74.955","0.87","75.454","0.67","75.949","0.66","76.313","0.48","76.504","0.25","76.72","0.28","76.998","0.36","77.397","0.52","77.812","0.54","78.407","0.77","78.979","0.73","79.423","0.56","79.857","0.55","80.35","0.62","81.243","1.11","82.021","0.96","82.937","1.12","83.489","0.67","84.115","0.75","84.987","1.04","85.654","0.78","86.097","0.52","86.089","-0.01","85.901","-0.22","85.658","-0.28","85.341","-0.37","85.013","-0.38","84.802","-0.25","84.434","-0.43","84.211","-0.26","83.919","-0.35","83.717","-0.24","83.612","-0.13","83.536","-0.09","83.403","-0.16","83.294","-0.13","83.156","-0.17","83.054","-0.12","82.927","-0.15","82.731","-0.24","82.657","-0.09","82.666","0.01","83.055","0.47","83.348","0.35","83.55","0.24","83.737","0.22","83.876","0.17","84.082","0.24","84.214","0.16","84.352","0.16","84.635","0.34","84.846","0.25","84.933","0.1","85.033","0.12","85.186","0.18","85.441","0.3","85.902","0.54","86.279","0.44","86.522","0.28","86.551","0.03","86.543","-0.01","86.508","-0.04","86.413","-0.11","86.355","-0.07","86.24","-0.13","86.11","-0.15","85.99","-0.14","85.959","-0.04","86.057","0.11","86.209","0.18","86.44","0.27","86.828","0.45","87.07","0.28","87.093","0.03","86.936","-0.18","86.891","-0.05","87.086","0.22","87.315","0.26","87.8","0.55","88.585","0.89","89.414","0.94","90.637","1.37","92.557","2.12","93.953","1.51","95.587","1.74","96.978","1.46","97.995","1.05","98.952","0.98","100","1.06","100.389","0.39","100.659","0.27","100.765","0.11","100.809","0.04","100.738","-0.07","100.567","-0.17","100.229","-0.34","99.814","-0.41","99.133","-0.68","98.506","-0.63","97.74","-0.78","97.019","-0.74","96.481","-0.55","95.607","-0.91","94.606","-1.05","93.264","-1.42","91.316","-2.09","88.114","-3.51","85.899","-2.51","83.955","-2.26","82.595","-1.62","81.569","-1.24"
"중구","55.631","-","55.214","-0.75","55.117","-0.18","55.422","0.55","55.739","0.57","55.807","0.12","55.749","-0.11","55.68","-0.12","55.664","-0.03","55.926","0.47","55.974","0.09","56.1","0.23","56.034","-0.12","55.908","-0.22","55.774","-0.24","55.835","0.11","56.149","0.56","56.634","0.86","57.124","0.87","57.241","0.21","58.044","1.4","58.294","0.43","60.303","3.45","60.834","0.88","60.853","0.03","61.923","1.76","62.18","0.41","62.526","0.56","62.977","0.72","63.44","0.73","63.079","-0.57","63.131","0.08","63.059","-0.11","63.117","0.09","62.985","-0.21","62.972","-0.02","62.879","-0.15","62.74","-0.22","62.621","-0.19","62.621","0","62.563","-0.09","62.426","-0.22","62.098","-0.53","61.705","-0.63","61.537","-0.27","61.519","-0.03","61.336","-0.3","61.281","-0.09","61.245","-0.06","61.124","-0.2","61.074","-0.08","61.009","-0.11","60.826","-0.3","60.69","-0.22","60.672","-0.03","60.662","-0.02","60.628","-0.06","60.599","-0.05","60.547","-0.09","60.547","0","60.493","-0.09","60.06","-0.72","59.777","-0.47","59.428","-0.58","58.975","-0.76","58.695","-0.48","58.679","-0.03","58.574","-0.18","58.559","-0.03","58.559","0","58.802","0.41","58.813","0.02","58.799","-0.02","58.795","-0.01","58.795","0","58.831","0.06","58.86","0.05","58.842","-0.03","58.915","0.12","58.886","-0.05","58.931","0.08","58.917","-0.02","58.893","-0.04","58.893","0","59.015","0.21","58.996","-0.03","59.008","0.02","59.131","0.21","59.192","0.1","59.192","0","59.311","0.2","59.516","0.35","59.547","0.05","59.906","0.6","61.274","2.28","61.649","0.61","62.533","1.43","62.694","0.26","63.682","1.58","63.723","0.06","63.774","0.08","64.029","0.4","64.067","0.06","64.08","0.02","64.097","0.03","64.319","0.35","64.319","0","64.387","0.11","64.532","0.23","65.281","1.16","65.639","0.55","65.729","0.14","65.837","0.16","66.294","0.69","66.478","0.28","66.5","0.03","66.693","0.29","67.001","0.46","67.182","0.27","67.518","0.5","67.664","0.22","67.901","0.35","68.173","0.4","68.438","0.39","68.634","0.29","68.755","0.18","68.836","0.12","68.898","0.09","68.993","0.14","69.076","0.12","69.185","0.16","69.338","0.22","69.48","0.2","69.944","0.67","70.385","0.63","70.765","0.54","70.994","0.32","71.424","0.61","71.752","0.46","72.885","1.58","73.557","0.92","74.254","0.95","74.59","0.45","75.122","0.71","75.419","0.4","75.44","0.03","75.329","-0.15","75.226","-0.14","75.056","-0.23","74.809","-0.33","74.596","-0.28","74.52","-0.1","74.492","-0.04","74.452","-0.05","74.394","-0.08","74.312","-0.11","74.28","-0.04","74.262","-0.02","74.148","-0.15","74.117","-0.04","74.06","-0.08","74.027","-0.05","73.981","-0.06","73.953","-0.04","74.027","0.1","74.616","0.8","74.878","0.35","75.28","0.54","75.563","0.38","75.934","0.49","76.177","0.32","76.421","0.32","76.872","0.59","77.393","0.68","77.784","0.51","78.08","0.38","78.781","0.9","79.038","0.33","79.512","0.6","80.117","0.76","81.196","1.35","81.98","0.97","82.506","0.64","82.838","0.4","83.063","0.27","83.37","0.37","83.732","0.43","83.925","0.23","84.137","0.25","84.252","0.14","84.342","0.11","84.54","0.23","84.908","0.43","85.345","0.51","86.01","0.78","86.477","0.54","86.748","0.31","86.619","-0.15","86.539","-0.09","86.761","0.26","87.01","0.29","87.465","0.52","87.84","0.43","88.675","0.95","90.014","1.51","91.922","2.12","93.142","1.33","94.933","1.92","96.547","1.7","97.68","1.17","98.869","1.22","100","1.14","100.191","0.19","100.275","0.08","100.311","0.04","100.308","0","100.173","-0.13","99.901","-0.27","99.644","-0.26","99.286","-0.36","98.602","-0.69","97.726","-0.89","96.718","-1.03","95.737","-1.01","94.838","-0.94","94.246","-0.62","93.272","-1.03","92.378","-0.96","91.318","-1.15","90.231","-1.19","89.118","-1.23","86.946","-2.44","84.86","-2.4","83.446","-1.67"
"동구","52.039","-","51.656","-0.74","51.647","-0.02","51.656","0.02","51.808","0.29","51.927","0.23","52.195","0.52","52.267","0.14","52.59","0.62","52.749","0.3","53.044","0.56","53.216","0.32","53.466","0.47","53.462","-0.01","53.494","0.06","53.71","0.4","53.816","0.2","53.959","0.27","54.893","1.73","55.513","1.13","56.401","1.6","56.919","0.92","57.402","0.85","57.717","0.55","58.319","1.04","59.082","1.31","59.579","0.84","59.684","0.18","60.09","0.68","60.308","0.36","60.398","0.15","60.485","0.14","60.499","0.02","60.492","-0.01","60.724","0.38","60.464","-0.43","60.344","-0.2","60.624","0.46","60.732","0.18","60.81","0.13","60.83","0.03","60.804","-0.04","60.933","0.21","60.895","-0.06","60.913","0.03","60.811","-0.17","60.798","-0.02","60.879","0.13","61.191","0.51","61.209","0.03","61.214","0.01","61.245","0.05","61.377","0.22","61.567","0.31","61.575","0.01","61.537","-0.06","61.734","0.32","61.744","0.02","61.732","-0.02","61.699","-0.05","61.491","-0.34","61.196","-0.48","60.944","-0.41","60.627","-0.52","60.167","-0.76","59.916","-0.42","59.679","-0.4","59.517","-0.27","59.435","-0.14","59.437","0","59.868","0.73","59.928","0.1","59.917","-0.02","59.986","0.12","59.993","0.01","60.049","0.09","59.991","-0.1","60.011","0.03","59.996","-0.03","59.871","-0.21","59.699","-0.29","59.574","-0.21","59.452","-0.2","59.419","-0.06","59.418","0","59.474","0.09","59.511","0.06","59.698","0.31","60.011","0.52","60.424","0.69","60.862","0.73","61.188","0.54","61.665","0.78","62.114","0.73","63.232","1.8","63.772","0.85","64.269","0.78","64.66","0.61","66.62","3.03","66.909","0.43","67.409","0.75","67.729","0.48","68.037","0.45","68.188","0.22","68.533","0.51","68.73","0.29","68.816","0.12","68.81","-0.01","68.896","0.12","69.289","0.57","69.485","0.28","69.485","0","69.714","0.33","71.471","2.52","72.208","1.03","73.065","1.19","73.609","0.74","74","0.53","74.345","0.47","74.849","0.68","75.311","0.62","76.308","1.32","77.593","1.68","78.259","0.86","78.813","0.71","79.25","0.56","79.732","0.61","80.049","0.4","80.439","0.49","80.827","0.48","81.62","0.98","82.112","0.6","82.764","0.79","83.497","0.89","84.036","0.65","84.628","0.7","85.173","0.64","85.995","0.96","86.81","0.95","87.582","0.89","88.07","0.56","88.7","0.71","89.627","1.05","90.372","0.83","90.81","0.48","90.829","0.02","90.77","-0.06","90.636","-0.15","90.302","-0.37","90.135","-0.19","89.907","-0.25","89.514","-0.44","89.304","-0.23","88.884","-0.47","88.712","-0.19","88.682","-0.03","88.696","0.02","88.617","-0.09","88.522","-0.11","88.367","-0.18","88.225","-0.16","88.105","-0.14","87.911","-0.22","87.842","-0.08","87.925","0.09","88.246","0.36","88.582","0.38","88.741","0.18","88.953","0.24","89.185","0.26","89.318","0.15","89.333","0.02","89.341","0.01","89.391","0.06","89.346","-0.05","89.389","0.05","89.356","-0.04","89.389","0.04","89.598","0.23","89.96","0.4","89.959","0","89.986","0.03","89.882","-0.12","89.763","-0.13","89.622","-0.16","89.45","-0.19","89.289","-0.18","89.266","-0.03","89.399","0.15","89.546","0.16","89.599","0.06","89.761","0.18","89.902","0.16","90.041","0.15","90.359","0.35","90.646","0.32","90.674","0.03","90.543","-0.14","90.537","-0.01","90.681","0.16","90.88","0.22","91.168","0.32","91.512","0.38","91.818","0.33","92.231","0.45","92.825","0.64","94.448","1.75","96.376","2.04","97.666","1.34","98.337","0.69","99.13","0.81","100","0.88","100.265","0.27","100.457","0.19","100.512","0.06","100.48","-0.03","100.33","-0.15","100.056","-0.27","99.598","-0.46","99.085","-0.52","98.237","-0.86","97.659","-0.59","97.071","-0.6","96.602","-0.48","96.317","-0.29","95.771","-0.57","95.047","-0.76","94.074","-1.02","92.393","-1.79","90.013","-2.58","88.179","-2.04","86.374","-2.05","84.749","-1.88","83.472","-1.51"
"서구","56.991","-","55.491","-2.63","54.567","-1.67","55.162","1.09","55.276","0.21","55.238","-0.07","54.626","-1.11","54.559","-0.12","55.047","0.89","55.004","-0.08","55.085","0.15","55.253","0.3","55.404","0.27","55.569","0.3","55.817","0.45","56.228","0.74","56.364","0.24","57.957","2.83","58.78","1.42","59.254","0.81","59.734","0.81","59.994","0.43","60.474","0.8","60.827","0.58","61.017","0.31","61.913","1.47","63.059","1.85","63.629","0.9","64.482","1.34","64.663","0.28","64.607","-0.09","64.61","0","64.191","-0.65","64.201","0.01","63.792","-0.64","63.89","0.15","63.89","0","63.889","0","63.959","0.11","63.841","-0.19","63.657","-0.29","63.491","-0.26","63.478","-0.02","63.5","0.03","63.448","-0.08","63.401","-0.07","63.326","-0.12","63.273","-0.08","63.185","-0.14","63.185","0","63.185","0","63.087","-0.16","63.043","-0.07","62.887","-0.25","62.576","-0.49","62.285","-0.47","62.044","-0.39","61.929","-0.19","61.913","-0.03","61.576","-0.54","61.159","-0.68","60.44","-1.18","59.94","-0.83","58.442","-2.5","58.314","-0.22","58.308","-0.01","58.492","0.32","58.341","-0.26","58.186","-0.26","58.385","0.34","58.488","0.18","58.752","0.45","58.823","0.12","59.083","0.44","59.214","0.22","59.4","0.31","59.351","-0.08","59.194","-0.27","59.267","0.12","59.686","0.71","59.573","-0.19","59.48","-0.16","59.529","0.08","59.96","0.72","60.154","0.32","60.265","0.18","60.472","0.34","60.672","0.33","60.982","0.51","61.32","0.55","61.333","0.02","61.613","0.46","61.857","0.4","62.109","0.41","62.568","0.74","63.042","0.76","63.761","1.14","63.921","0.25","64.824","1.41","65.176","0.54","65.551","0.57","65.838","0.44","65.922","0.13","66.003","0.12","66","0","66.166","0.25","66.166","0","66.425","0.39","66.771","0.52","67.687","1.37","68.275","0.87","68.412","0.2","68.516","0.15","68.911","0.58","69.346","0.63","69.735","0.56","69.954","0.31","70.061","0.15","70.23","0.24","70.791","0.8","71.157","0.52","71.467","0.44","71.733","0.37","72.236","0.7","73.038","1.11","73.674","0.87","74.081","0.55","74.343","0.35","74.512","0.23","74.701","0.25","75.032","0.44","75.19","0.21","75.486","0.39","76.137","0.86","76.56","0.56","76.947","0.51","77.371","0.55","78.08","0.92","78.637","0.71","79.473","1.06","80.064","0.74","80.699","0.79","81.089","0.48","81.26","0.21","81.401","0.17","81.45","0.06","81.45","0","81.334","-0.14","81.201","-0.16","80.988","-0.26","80.907","-0.1","80.82","-0.11","80.751","-0.09","80.692","-0.07","80.656","-0.05","80.651","-0.01","80.641","-0.01","80.544","-0.12","80.495","-0.06","80.441","-0.07","80.346","-0.12","80.237","-0.14","80.149","-0.11","80.003","-0.18","80.008","0.01","80.242","0.29","80.422","0.22","80.552","0.16","80.675","0.15","80.754","0.1","80.843","0.11","80.916","0.09","81.408","0.61","81.561","0.19","81.565","0","81.688","0.15","81.738","0.06","81.812","0.09","81.971","0.19","82.303","0.41","82.559","0.31","82.874","0.38","83.121","0.3","83.525","0.49","83.722","0.24","84.029","0.37","84.307","0.33","84.658","0.42","84.921","0.31","85.221","0.35","85.255","0.04","85.331","0.09","85.452","0.14","85.823","0.43","86.437","0.72","87.095","0.76","87.565","0.54","87.419","-0.17","87.398","-0.02","87.7","0.35","87.988","0.33","88.352","0.41","89.633","1.45","90.448","0.91","91.89","1.59","93.423","1.67","95.252","1.96","96.667","1.49","97.797","1.17","98.668","0.89","99.427","0.77","100","0.58","100.307","0.31","100.42","0.11","100.437","0.02","100.459","0.02","100.356","-0.1","100.178","-0.18","99.96","-0.22","99.729","-0.23","99.175","-0.56","98.659","-0.52","97.947","-0.72","97.29","-0.67","96.829","-0.47","96.012","-0.84","95.13","-0.92","94.134","-1.05","92.635","-1.59","89.864","-2.99","88.101","-1.96","86.672","-1.62","85.18","-1.72","84.148","-1.21"
"남구","56.134","-","56.044","-0.16","56.094","0.09","55.895","-0.35","56.622","1.3","56.532","-0.16","56.606","0.13","56.498","-0.19","56.746","0.44","56.607","-0.24","56.613","0.01","56.656","0.08","56.694","0.07","56.4","-0.52","56.11","-0.51","56.167","0.1","56.258","0.16","56.371","0.2","56.924","0.98","57.243","0.56","57.563","0.56","57.746","0.32","57.769","0.04","57.925","0.27","58.007","0.14","58.026","0.03","58.275","0.43","58.781","0.87","59.354","0.97","59.422","0.12","59.6","0.3","59.752","0.25","59.747","-0.01","59.596","-0.25","59.526","-0.12","59.492","-0.06","59.683","0.32","59.552","-0.22","59.388","-0.27","59.294","-0.16","59.331","0.06","59.202","-0.22","59.089","-0.19","59.058","-0.05","58.941","-0.2","58.941","0","58.867","-0.13","58.853","-0.02","58.857","0.01","58.756","-0.17","58.499","-0.44","58.522","0.04","58.433","-0.15","58.336","-0.17","58.482","0.25","58.505","0.04","58.763","0.44","58.78","0.03","58.737","-0.07","58.579","-0.27","58.412","-0.29","57.817","-1.02","57.722","-0.16","57.311","-0.71","57.049","-0.46","56.977","-0.13","56.977","0","56.992","0.03","56.595","-0.7","56.579","-0.03","56.658","0.14","56.781","0.22","57.083","0.53","57.083","0","57.083","0","57.083","0","57.066","-0.03","57.109","0.08","57.056","-0.09","57.098","0.07","56.737","-0.63","56.876","0.25","56.952","0.13","57.05","0.17","57.035","-0.03","57.011","-0.04","57.156","0.25","57.219","0.11","57.383","0.29","57.506","0.21","57.59","0.15","57.991","0.7","58.12","0.22","58.929","1.39","59.241","0.53","59.981","1.25","60.591","1.02","60.675","0.14","61.017","0.56","61.247","0.38","61.425","0.29","61.547","0.2","61.705","0.26","61.852","0.24","61.924","0.12","62.194","0.44","62.332","0.22","62.713","0.61","63.096","0.61","63.727","1","65.051","2.08","65.196","0.22","65.362","0.25","65.81","0.68","66.728","1.4","67.267","0.81","67.94","1","68.456","0.76","68.634","0.26","69.193","0.81","70.114","1.33","71.812","2.42","72.821","1.41","73.687","1.19","74.313","0.85","74.684","0.5","74.99","0.41","75.287","0.4","75.613","0.43","75.881","0.35","76.188","0.41","76.618","0.56","77.305","0.9","77.917","0.79","78.647","0.94","79.439","1.01","80.152","0.9","80.91","0.95","81.758","1.05","83.239","1.81","83.726","0.58","84.576","1.02","86.079","1.78","87.443","1.58","88.36","1.05","88.539","0.2","88.364","-0.2","88.066","-0.34","87.52","-0.62","87.053","-0.53","86.658","-0.45","86.022","-0.73","85.616","-0.47","85.196","-0.49","85.057","-0.16","85.015","-0.05","84.898","-0.14","84.726","-0.2","84.548","-0.21","84.449","-0.12","84.366","-0.1","84.283","-0.1","84.105","-0.21","84.102","0","84.168","0.08","84.343","0.21","84.562","0.26","84.781","0.26","85.063","0.33","85.251","0.22","85.452","0.24","85.766","0.37","86.063","0.35","86.225","0.19","86.484","0.3","86.544","0.07","86.733","0.22","86.902","0.2","86.91","0.01","87.067","0.18","87.082","0.02","87.284","0.23","87.489","0.23","87.649","0.18","87.871","0.25","88.135","0.3","88.205","0.08","88.517","0.35","88.71","0.22","89.123","0.47","89.402","0.31","89.926","0.59","90.41","0.54","90.835","0.47","91.028","0.21","91.253","0.25","91.244","-0.01","91.229","-0.02","91.256","0.03","91.338","0.09","91.552","0.23","91.83","0.3","92.194","0.4","92.704","0.55","93.491","0.85","94.905","1.51","95.464","0.59","96.52","1.11","97.477","0.99","98.413","0.96","99.087","0.68","100","0.92","100.315","0.31","100.527","0.21","100.582","0.05","100.632","0.05","100.577","-0.05","100.512","-0.06","100.33","-0.18","100.118","-0.21","99.827","-0.29","99.557","-0.27","99.404","-0.15","99.237","-0.17","98.9","-0.34","98.41","-0.5","97.897","-0.52","97.181","-0.73","96.091","-1.12","94.087","-2.09","91.906","-2.32","89.84","-2.25","88.025","-2.02","86.283","-1.98"
"북구","49.976","-","49.336","-1.28","48.846","-0.99","48.814","-0.06","49.123","0.63","49.311","0.38","49.183","-0.26","49.204","0.04","49.326","0.25","49.315","-0.02","49.325","0.02","49.316","-0.02","49.607","0.59","49.573","-0.07","49.596","0.05","49.865","0.54","50.118","0.51","50.962","1.68","51.524","1.1","52.162","1.24","52.779","1.18","53.351","1.08","54.376","1.92","54.942","1.04","55.642","1.27","56.235","1.07","56.883","1.15","57.265","0.67","57.839","1","58.067","0.39","58.286","0.38","58.187","-0.17","58.072","-0.2","58.006","-0.11","57.994","-0.02","58.158","0.28","58.39","0.4","58.481","0.16","58.623","0.24","58.617","-0.01","58.621","0.01","58.503","-0.2","58.358","-0.25","58.237","-0.21","58.173","-0.11","58.181","0.01","58.199","0.03","58.107","-0.16","57.914","-0.33","57.672","-0.42","57.52","-0.26","57.218","-0.53","57.251","0.06","57.065","-0.33","57.032","-0.06","56.985","-0.08","56.826","-0.28","56.598","-0.4","56.543","-0.1","56.495","-0.08","56.384","-0.2","56.069","-0.56","55.699","-0.66","55.563","-0.24","55.312","-0.45","55.069","-0.44","55.066","-0.01","54.955","-0.2","54.94","-0.03","55.005","0.12","55.216","0.38","55.438","0.4","55.369","-0.13","55.696","0.59","55.812","0.21","55.923","0.2","56.042","0.21","56.143","0.18","56.198","0.1","56.2","0","56.194","-0.01","56.257","0.11","56.304","0.08","56.422","0.21","56.556","0.24","56.767","0.37","57.172","0.71","58.109","1.64","59.038","1.6","60.832","3.04","61.218","0.64","61.744","0.86","62.352","0.99","63.276","1.48","63.939","1.05","64.83","1.39","66.567","2.68","67.156","0.88","68.298","1.7","68.819","0.76","69.391","0.83","69.495","0.15","69.711","0.31","69.814","0.15","69.86","0.07","69.949","0.13","70.216","0.38","70.412","0.28","70.64","0.32","71.127","0.69","71.669","0.76","71.974","0.43","72.348","0.52","73.218","1.2","74.118","1.23","75.101","1.33","77.153","2.73","78.288","1.47","79.29","1.28","80.193","1.14","81.429","1.54","82.784","1.66","84.1","1.59","84.636","0.64","85.002","0.43","85.361","0.42","85.501","0.16","85.683","0.21","85.642","-0.05","85.688","0.05","85.892","0.24","86.153","0.3","86.772","0.72","87.36","0.68","87.883","0.6","88.545","0.75","89.155","0.69","90.379","1.37","91.227","0.94","92.438","1.33","93.15","0.77","94.112","1.03","95.236","1.19","95.966","0.77","96.524","0.58","96.736","0.22","96.659","-0.08","96.498","-0.17","96.101","-0.41","95.752","-0.36","95.435","-0.33","94.895","-0.57","94.486","-0.43","94.173","-0.33","93.843","-0.35","93.62","-0.24","93.488","-0.14","93.379","-0.12","93.27","-0.12","93.102","-0.18","93.027","-0.08","92.919","-0.12","92.497","-0.45","92.353","-0.16","92.256","-0.1","92.386","0.14","92.458","0.08","92.533","0.08","92.657","0.13","92.843","0.2","92.858","0.02","92.68","-0.19","92.432","-0.27","92.676","0.26","92.879","0.22","92.847","-0.03","92.957","0.12","93.017","0.06","93.31","0.32","93.781","0.5","94.111","0.35","94.105","-0.01","94.037","-0.07","94.016","-0.02","93.973","-0.05","93.886","-0.09","93.782","-0.11","93.481","-0.32","93.287","-0.21","93.132","-0.17","93.054","-0.08","93.036","-0.02","93.048","0.01","93.222","0.19","93.351","0.14","93.314","-0.04","93.257","-0.06","93.041","-0.23","92.955","-0.09","92.977","0.02","92.979","0","93.039","0.06","93.093","0.06","93.268","0.19","93.523","0.27","94.515","1.06","95.154","0.68","96.406","1.32","97.457","1.09","98.424","0.99","99.185","0.77","100","0.82","100.296","0.3","100.511","0.21","100.57","0.06","100.572","0","100.515","-0.06","100.36","-0.15","100.212","-0.15","100.039","-0.17","99.717","-0.32","99.467","-0.25","98.946","-0.52","98.443","-0.51","98.171","-0.28","97.728","-0.45","97.154","-0.59","96.354","-0.82","94.838","-1.57","92.454","-2.51","90.823","-1.76","89.635","-1.31","88.743","-1","87.821","-1.04"
"수성구","45.316","-","44.807","-1.12","44.768","-0.09","44.813","0.1","45.153","0.76","45.169","0.04","45.192","0.05","45.246","0.12","45.199","-0.1","45.069","-0.29","45.087","0.04","45.055","-0.07","44.807","-0.55","44.743","-0.14","44.687","-0.13","44.831","0.32","44.984","0.34","45.351","0.82","45.719","0.81","46.132","0.9","46.302","0.37","46.427","0.27","46.614","0.4","46.669","0.12","46.617","-0.11","46.799","0.39","47.121","0.69","47.185","0.14","47.186","0","47.195","0.02","47.104","-0.19","46.908","-0.42","46.795","-0.24","46.621","-0.37","46.394","-0.49","46.394","0","46.325","-0.15","46.285","-0.09","46.227","-0.13","46.177","-0.11","46.108","-0.15","46.038","-0.15","45.909","-0.28","45.826","-0.18","45.771","-0.12","45.705","-0.14","45.64","-0.14","45.616","-0.05","45.508","-0.24","45.382","-0.28","45.43","0.1","45.421","-0.02","45.421","0","45.425","0.01","45.266","-0.35","45.14","-0.28","45.198","0.13","45.238","0.09","45.216","-0.05","45.156","-0.13","44.967","-0.42","44.482","-1.08","44.189","-0.66","44.002","-0.42","43.541","-1.05","43.37","-0.39","43.252","-0.27","43.175","-0.18","43.057","-0.27","42.949","-0.25","42.931","-0.04","42.987","0.13","43.203","0.5","43.234","0.07","43.272","0.09","43.357","0.2","43.336","-0.05","43.359","0.05","43.396","0.09","43.414","0.04","43.404","-0.02","43.367","-0.09","43.456","0.21","43.575","0.27","43.806","0.53","44.043","0.54","44.152","0.25","44.668","1.17","45.13","1.04","45.908","1.72","46.222","0.68","46.588","0.79","47.245","1.41","47.939","1.47","48.534","1.24","48.982","0.92","49.77","1.61","50.098","0.66","51.67","3.14","51.75","0.16","51.98","0.44","52.065","0.16","52.022","-0.08","52.062","0.08","52.02","-0.08","52.059","0.08","52.067","0.02","52.085","0.04","52.122","0.07","52.283","0.31","52.535","0.48","52.556","0.04","52.628","0.14","53.175","1.04","53.609","0.82","54.204","1.11","54.71","0.93","55.07","0.66","55.373","0.55","55.791","0.75","56.282","0.88","57.193","1.62","57.986","1.39","58.695","1.22","59.043","0.59","59.425","0.65","59.707","0.47","59.787","0.14","60.032","0.41","60.561","0.88","61.148","0.97","61.915","1.25","62.941","1.66","63.956","1.61","64.466","0.8","64.982","0.8","65.655","1.04","66.892","1.88","67.945","1.57","68.848","1.33","69.428","0.84","69.958","0.76","70.585","0.9","70.911","0.46","71.207","0.42","71.054","-0.21","70.821","-0.33","70.563","-0.36","70.399","-0.23","70.146","-0.36","70.002","-0.21","69.547","-0.65","69.424","-0.18","69.307","-0.17","69.216","-0.13","69.217","0","69.194","-0.03","69.148","-0.07","69.077","-0.1","69.014","-0.09","68.97","-0.06","68.88","-0.13","68.779","-0.15","68.778","0","68.832","0.08","69.908","1.56","70.608","1","70.967","0.51","71.288","0.45","71.341","0.07","71.891","0.77","72.303","0.57","72.792","0.68","73.454","0.91","74.083","0.86","74.373","0.39","74.674","0.41","75.002","0.44","75.559","0.74","76.53","1.28","77.321","1.03","77.965","0.83","78.172","0.27","78.246","0.09","78.251","0.01","78.015","-0.3","77.981","-0.04","77.808","-0.22","77.656","-0.2","77.451","-0.26","77.417","-0.04","77.568","0.2","77.687","0.15","77.956","0.35","78.391","0.56","78.567","0.23","78.536","-0.04","78.393","-0.18","78.424","0.04","78.731","0.39","79.124","0.5","80.348","1.55","82.218","2.33","84.145","2.34","86.916","3.29","89.812","3.33","92.064","2.51","94.354","2.49","96.072","1.82","97.192","1.17","98.561","1.41","100","1.46","100.594","0.59","101.079","0.48","101.295","0.21","101.457","0.16","101.453","0","101.405","-0.05","101.118","-0.28","100.761","-0.35","100.231","-0.53","99.601","-0.63","98.942","-0.66","98.309","-0.64","97.767","-0.55","96.726","-1.06","95.365","-1.41","93.601","-1.85","91.081","-2.69","86.066","-5.51","83.795","-2.64","81.96","-2.19","80.444","-1.85","79.461","-1.22"
