"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201602","1","16,500","4","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201603","3","17,200","5","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201603","6","16,000","9","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201603","6","16,300","8","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201603","16","18,300","5","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201604","1","16,000","7","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201604","15","11,500","7","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201605","3","16,400","4","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201605","13","15,700","2","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201605","24","16,300","2","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201605","30","16,200","2","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201605","30","17,000","5","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201605","31","18,000","9","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201606","11","16,000","6","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201607","7","16,700","4","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201607","30","16,000","5","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201608","27","17,000","8","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201609","12","15,800","8","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201610","29","15,700","6","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201611","14","16,750","6","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201612","14","15,600","4","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201612","16","16,100","2","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201612","21","15,000","7","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","201606","27","11,450","1","1983","대경길 258","","-","-"
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","201610","15","11,500","4","1983","대경길 258","","-","-"
"대구광역시 남구 대명동","1733-3","1733","0003","경일맨션","53.95","201603","21","15,200","5","1977","현충로 190","","-","-"
"대구광역시 남구 대명동","1733-3","1733","0003","경일맨션","70.35","201603","24","17,500","6","1977","현충로 190","","-","-"
"대구광역시 남구 대명동","1733-3","1733","0003","경일맨션","72.69","201604","4","13,500","4","1977","현충로 190","","-","-"
"대구광역시 남구 대명동","1797-69","1797","0069","경일빌라트","117.03","201611","17","25,000","3","1996","중앙대로47길 39","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","62.7492","201605","10","22,000","8","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","62.7492","201605","12","22,000","6","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","62.7492","201606","27","22,000","9","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","84.8278","201607","5","26,600","9","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","62.7492","201607","13","22,900","10","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","62.7492","201607","24","22,000","5","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","77.0369","201608","7","25,400","5","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","84.8278","201608","10","26,500","6","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","84.8278","201608","10","26,600","8","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","77.0369","201609","5","26,900","10","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","77.0369","201610","5","25,000","6","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","77.0369","201610","6","24,600","4","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","84.8278","201610","27","26,000","7","2016","성당로 138","","-","-"
"대구광역시 남구 대명동","3049-37","3049","0037","궁전하이츠","82.91","201604","1","22,500","8","2002","두류공원로 83","","-","-"
