,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,Year,제곱미터당가격(만원),날짜,지수
4276,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.75,2006-03-01,18,11200.0,10,1998.0,원대로13길 2,,-,-,2006,132.15339233038347,2006-03-01,57.34647609
5954,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.39,2006-04-01,12,10400.0,12,1998.0,원대로13길 2,,-,-,2006,123.23735039696646,2006-04-01,57.54743175
7310,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.39,2006-05-01,10,10800.0,9,1998.0,원대로13길 2,,-,-,2006,127.97724848915749,2006-05-01,57.78075678
7311,대구광역시 서구 원대동2가,88,88,0,원대금류타운,59.63,2006-05-01,15,8550.0,11,1998.0,원대로13길 2,,-,-,2006,143.38420258259265,2006-05-01,57.78075678
9752,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.75,2006-09-01,27,11150.0,16,1998.0,원대로13길 2,,-,-,2006,131.56342182890856,2006-09-01,57.3940838
14885,대구광역시 서구 원대동2가,88,88,0,원대금류타운,59.63,2006-11-01,1,7900.0,5,1998.0,원대로13길 2,,-,-,2006,132.48364916988092,2006-11-01,57.34058975
24707,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.39,2007-03-01,15,11000.0,4,1998.0,원대로13길 2,,-,-,2007,130.347197535253,2007-03-01,57.08749012
38666,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.75,2007-05-01,31,11000.0,11,1998.0,원대로13길 2,,-,-,2007,129.79351032448378,2007-05-01,56.67768634
42114,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.75,2008-10-01,23,12000.0,7,1998.0,원대로13길 2,,-,-,2008,141.5929203539823,2008-10-01,54.61268755
44648,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.39,2008-01-01,25,11200.0,8,1998.0,원대로13길 2,,-,-,2008,132.7171465813485,2008-01-01,55.58457985
49378,대구광역시 서구 원대동2가,88,88,0,원대금류타운,59.63,2008-03-01,10,8000.0,2,1998.0,원대로13길 2,,-,-,2008,134.1606573872212,2008-03-01,55.41245583
53223,대구광역시 서구 원대동2가,88,88,0,원대금류타운,59.63,2008-07-01,15,7800.0,15,1998.0,원대로13길 2,,-,-,2008,130.80664095254068,2008-07-01,55.00110539
62256,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.75,2008-12-01,19,10900.0,14,1998.0,원대로13길 2,,-,-,2008,128.61356932153393,2008-12-01,53.87379818
67224,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.75,2009-01-01,23,10500.0,3,1998.0,원대로13길 2,,-,-,2009,123.89380530973452,2009-01-01,53.2707006
70459,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.75,2009-03-01,13,10000.0,3,1998.0,원대로13길 2,,-,-,2009,117.99410029498524,2009-03-01,52.50221219
73538,대구광역시 서구 원대동2가,88,88,0,원대금류타운,84.39,2009-05-01,1,10000.0,6,1998.0,원대로13길 2,,-,-,2009,118.49745230477545,2009-05-01,52.34629986
